423,FlakUtt,"Lander Fernandez Arroiabe soinu ekoizlearen Elektroflak egitasmo elektronikoaren eta UTT Uharteko Txalaparta Tailerraren arteko batuketatik sortutako proiektua da FlakUtt. Txalaparta, musika elektronikoa eta inprobisazioa dira FlakUttek argitaratutako disko bakarraren osagai nagusiak. ",2008 - 2010,Uharte (Nafarroa),"['Folka', 'Elektronikoa']",https://www.badok.eus/euskal-musika/flakutt
425,Floxbin,,2016,Usurbil (Gipuzkoa),['Metala'],https://www.badok.eus/euskal-musika/floxbin
433,Fundiziyue,,1994 - 2004,Azpeitia,['Pop-rocka'],https://www.badok.eus/euskal-musika/fundiziyue
434,Fusible,"Pilota plazako ostatu batean sortu zen Fusible. Bikote gisa hasi zen eta hirukote formatuan jarraitu zuen. Hitzen beharrik ez duen rock sikodelikoaren, krautrockaren eta punkaren arteko soinu kiribil indartsu, hipnotiko eta geldiezina jaso dute orain arteko grabazioetan.",2016,Ziburu (Lapurdi),"['Punka', 'Rocka']",https://www.badok.eus/euskal-musika/fusible
435,G.A.Z Limbo,,,Lekeitio (Bizkaia),"['Rapa', 'Elektronikoa']",https://www.badok.eus/euskal-musika/g-a-z-limbo
439,Galazota,,2021,Arratia (Bizkaia),['Punk-rocka'],https://www.badok.eus/euskal-musika/galazota
441,Galtzagorriak,,2015,Tafalla (Nafarroa),['Ska'],https://www.badok.eus/euskal-musika/galtzagorriak
443,Ganorabakuek,,2014,Durangaldea (BIzkaia),"['Folk-rocka', 'Countrya']",https://www.badok.eus/euskal-musika/ganorabakuek
444,Garaje Drama,,,,['Hard-rocka'],https://www.badok.eus/euskal-musika/garaje-drama
445,Garazi Gorostiaga,,,,['Elektronikoa'],https://www.badok.eus/euskal-musika/garazi-gorostiaga
446,Gargara,,,,"['Elektronikoa', 'Esperimentala']",https://www.badok.eus/euskal-musika/gargara
450,Garraio,,2021,,['Rocka'],https://www.badok.eus/euskal-musika/garraio
454,Gaua Project,Jon Asier Zubelzu soinu teknikariak eta Jona Parra musikariak Gaua grabazio estudioaren inguruan sortutako proiektua da Gaua Project. Pop elektroniko eta dantzagarria jorratu dute orain arte argitaratutako disko bakarrean.,2009,Barakaldo (Bizkaia),"['Popa', 'Elektronikoa']",https://www.badok.eus/euskal-musika/gaua-project
467,Gora Gora Kids,"Gora Gora Kids-ek “3 chord rock and roll” deritzon soinua gurtzen du, zuzena, gordina eta sinplea; garage punk txatarrero dantzagarria. Eta batzuetan, zuzenekoetan, Bo Didley eta The Rolling Stones-en modukoak xehetzen dituzte. Taldekideen artean, Koldo Almandoz zinemagilea dago.",2009 - 2015,Iruñea-Donostia-Bilbo,['Rock&rolla'],https://www.badok.eus/euskal-musika/gora-gora-kids
469,Gorka Gaztanbide & Txikizio Kuadrilla,,,Iruñea,"['Jazza', 'Popa', 'Rocka', 'Soula']",https://www.badok.eus/euskal-musika/gorka-gaztanbide-txikizio-kuadrilla
471,Gorka Robles,,,,['[]'],https://www.badok.eus/euskal-musika/gorka-robles
473,Gorka Suaia eta Markes Iraizoz,,,,"['Rapa', 'Reggaea']",https://www.badok.eus/euskal-musika/gorka-suaia-eta-markes-iraizoz
474,Gorkhiru,"Soularen eta funkaren tradiziotik abiatuta, Gorkhiru taldeak kolore ugaritako doinuak bildu zituen. Gorka Lasa abeslari eta teklatu jotzaileak gidatutako laukoteak Bartzelonan egin zuen topo. Lasarekin batera, Santi Noriega euskal baxu jotzaileak, Anibal Martinez gitarrista argentinarrak eta Javier Martin bateria jotzaile kanariarrak osatu zuten Gorkhiru. Disko bakarra argitaratu zuten.",2003 - 2005,,"['Jazza', 'Soula']",https://www.badok.eus/euskal-musika/gorkhiru
475,Goroldio,,2021,Nafarroa,"['Punk-rocka', 'Rocka']",https://www.badok.eus/euskal-musika/goroldio
477,GorriBaltz,"GorriBaltz 2019ko maiatzean asmo handirik gabe sortutako proiektua da. Edo hobeto esanda, kopeta handiz eta musikaz gutxi jakinda jolasteko gogoz egin daitekeena. Hamaika modu daude Ideia zabaltzeko",2019,Bermeo (Bizkaia),"['Punka', 'Industriala', 'Post-punka']",https://www.badok.eus/euskal-musika/gorribaltz
480,Goxua'n Salsa,"Goxua’n Salsa talde kolonbiar-nafarra 2020ko urtarrilean sortu zen, Iruñean, salsa eta doinu latinoak euskaraz kantatzeko asmoz. 1960ko, 1970eko eta 1980ko urteetan New Yorken, Kolonbian eta Puerto Ricon egiten zen saltsa klasikoa berritzea da euren asmoa.",2020,Iruñea,['Salsa'],https://www.badok.eus/euskal-musika/goxuan-salsa
485,Gure Bidea,,1975 - 1979,,"['Herri', 'kanta']",https://www.badok.eus/euskal-musika/gure-bidea
486,Gutariko Bat,"Gutariko Bat 1994. urtean sortu zen Beran. Hasieran bost kidek osatu zuten taldea eta hurrengo bost urteetan formazio horrekin argitaratu zituen lan aipagarrienak. Rockaren eta hardcorearen esperimentazioa, teknika desberdinen arteko nahasketak, soinu collageak
 jorratu zituen.",1994 - 1999,Bera (Nafarroa),"['Rocka', 'Esperimentala', 'Noise-Rocka']",https://www.badok.eus/euskal-musika/gutariko-bat
487,Guzural,,,,"['Elektronikoa', 'Industriala']",https://www.badok.eus/euskal-musika/guzural
489,Haatik,,2019,Markina-Xemein (Bizkaia),"['Hardcorea', 'Post-hardcorea']",https://www.badok.eus/euskal-musika/haatik
492,Hagoan,,2019,Iruñea,['Rocka'],https://www.badok.eus/euskal-musika/hagoan
494,Haize Gorria,,,Urduña (Bizkaia),['Folk-rocka'],https://www.badok.eus/euskal-musika/haize-gorria
495,Haize-arrosa,Haize-arrosa taldea Berrizen (Bizkaia) sortu da 2022. 1990eko hamarkadan Ene Bada taldean ibilitako musikariek osatzen dute.,2022,,['Triki-popa'],https://www.badok.eus/euskal-musika/haize-arrosa
498,Haizeatxo,Haizea Alonso rap abeslaria da.,2001,Urizahar (Araba),['Rapa'],https://www.badok.eus/euskal-musika/haizea-alonso
503,Haragi Gordiña,,2000,Donostia,"['Popa', 'Runba']",https://www.badok.eus/euskal-musika/haragi-gordina
