Open Mics Grand Piano + Reaktor + Choir,85
Polysix Bass 101 + Reaktor Electronics,85
Polysix Pad Clean,85
Portutik,85
Zu zara bihotz,86
Vacant,87
Can't see nobody,87
Awakening to archaic values,87
Interpretations,87
Little to soon,87
Etxean (alternative version),87
Etxean,87
Untlited 1,87
Eterno retorno,87
Markak,88
Dotore esnatu gara,88
Abiatze,88
"Liluraren kontra (biolontxeloa, gitarra eta korua)",88
Marraska,88
Tía Luisita,88
Argia gara,88
EzBereziak,88
Oroitzen zaitudanean ama,88
Dotore esnatu gara (Hibai Etxebarria do minorrean),88
Bidaia,89
Eserlekuak,89
Larruazala,89
Hygge,89
Sustraiak,89
Irrioker,89
B aldea,89
Heldu nazazu,90
Argi izpia,90
Beldur gabe,90
Izarren musuak,90
I don't know why,90
Izar gabe,90
Bedarraren artean,90
Aldatzen,90
Bero bihotzean,90
Kantauriko trabain erruak,91
Jentil odola,91
Aintzinako guduen oroimenak,91
Akelarrearen sua,91
Ekaitzaren begitik,91
Arlekina / Aiumeen Basoa,91
Intro,92
Aintzinako guduen oroimenak,92
Arlekina / Aiumeen Basoa,92
Eskuak haunditzen,93
Geure barnean,93
Ireki burua,93
Begietan ikusten zaie,93
Momentu bat daukat,93
Txikia haundia da,93
Pikuberri,93
Estatu kolpea,94
Permutathionistêak,94
Bidean,94
Zugana,94
Gure jarrera,94
Pentsamendu positiboaren sekta,94
Tarantino II,94
Like artifizialak,94
Vacaciones en el Tibet,94
Piztia,95
Tarantino,95
Bakailaoa pil-pilean,95
Txarriboda,95
Supermistika,95
Kanibal makrobiotikoa,95
A tope con Loquillo,95
Doktrinamendu merkea,95
Infernua,96
Inor ez da inorena,96
Apur nazazu,96
Pistolaren klika,96
John List,96
Bakea eta amodioa,96
Nire izenean ez,96
Gora bizitza,96
Otoruntza,96
Gizakiak,96
Negarti,96
Kide sentimenduaren trafikatzaileak,96
Makina hori handia,96
Ez ahaztu inoiz nor zaren,96
Hernaniko tatuadorea,96
Intro,97
Gizakiak,97
VIP ideiak,97
Negarti,97
Apur nazazu,97
Otoruntza,97
Hernaniko tatuadorea,97
Erlojuari begira,98
Etengabe,98
Milaka kilometro,98
Gure lurraren hazia,98
Zoriontasun antzua,98
Sin darte cuenta,98
Kendu ziguten,98
Gurea (akustikoa),98
Equality,98
Desintoxikatu gabe,98
Eskerrak,98
Intro,99
Akabu,99
Monotoniaren kartzelan,99
X,99
Minaren maitale,99
Gautxoriaren bizitza,99
Bizitzan harriak,99
Aldarri iluna,99
Alarma social,99
Liburu ustelak,99
Gurea,99
Nork!,100
Gizakia eta pertsona,101
Irauli,102
Bizi,102
Antartika,102
Orain zer?,102
Phoenix,102
Jakin,102
Bera gabe,102
Ate itxia,102
Lortu arte,102
Gelditzera goaz,102
Kateak,103
Aurre egin,103
Hotzez hil,103
Irudiak,103
Izurri berria,103
R-Fux,103
Suge / Ate / Harri / Ekaitz,103
Askateasuna,103
Atzo = Gaur,103
Gu gara,103
Chancho Colorado,103
Egi bila,103
Zazpiak bat,105
Esne gorria,105
Gure gogoa,105
Anuki,105
Zertarako den askatasuna,105
Lehen arnasean pozoituak,105
Putreak haragi sur,105
Adardantza,105
Sugeak orain,105
Argiaren etorrera,105
Argizko kriseiluak,105
Azaroak4gitar,105
Nekeza izanagatik itzulera,105
Lurberria,105
çjkkkkkkkkkkkkkkkkk,105
Txoria txori,106
Hau beste norbaitek abesteko egiña izan zen,107
Itzali motorrak,107
Sorgiñen dantza,107
Gure etxean gaude,107
Ezari emanak,107
Bat (2),107
Badaude,107
Bihotz-Gogo-Indar,107
Nere amari,107
Endarlatza,107
Armagedon,107
Gisa + Aitaren etxean,108
Berriro,108
"Aintzina, basabereak",108
Suharriak + Bat,108
Gimiendo brasas,108
Yonki,108
Gorpuziega,108
Gisa,109
Suharriak,109
Berriro,109
Yonki,109
No words for green / Blues,109
Irrika,109
Esnatze berriak,109
Urre Manifestum,109
Bat,110
Aitaren etxean,111
X,111
Gorpuziega,111
(                         ),112
Hiltzen garenoi,112
Melilla,112
Distopiaren egunak,112
Tanta,112
Zentrifugo,112
Itsasoaren malko artean,112
Erratua,112
Atzerritarra II,112
Pottoka,112
Aurka,112
Akatsgabea,112
Lo kanta,112
"Aintzina, basabereek",112
(                         ),112
Arnasa falta denean,112
Akelarre,113
Kantuz,113
Amets trakets,113
Mari,113
Bertsolari,113
Malko bi,113
Karolina,113
Magaly,113
"1, 2, 3, 4 ispiluen aurrean",113
Non zaude?,113
Mendian gora,113
Txumai,113
Hitzak,113
Gauero,113
Eltzegor,113
Hotel California,113
Kalera,114
Hitzak,114
Danzin,114
Lumaia,114
Na-ska,114
Laxok,114
Hemen gaude,114
Eba,114
Karibe,114
Ama lurra,114
Mendian gora,114
Ezer ez,115
Ondo,115
Non zaude?,115
Tik-tak,115
Sukaldean,115
