158,Altzükütarrak Vol. 3,https://www.badok.eus/euskal-musika/altzukutarrak/altzukutarrak-vol-3,Herri kanta,False,1990,72
159,Altzükütarrak Vol. 2,https://www.badok.eus/euskal-musika/altzukutarrak/altzukutarrak-vol-2,Herri kanta,False,1987,72
160,Altzükütarrak Vol. 1,https://www.badok.eus/euskal-musika/altzukutarrak/altzukutarrak,Herri kanta,False,1985,72
161,Ero bomb,https://www.badok.eus/euskal-musika/ama-say/ero-bomb,Rocka,False,2022,73
162,Txinaurriak. Mikel Laboari ikasitako kantuak (Askoren artean),https://www.badok.eus/euskal-musika/ama-say/txinaurriak-mikel-laboari-ikasitako-kantuak-askoren-artean-8,Rocka,True,2010,73
163,Ren Fan,https://www.badok.eus/euskal-musika/ama-say/ren-fan,Rocka,False,2010,73
164,La Jungla Sonora Conciertos (Askoren artean),https://www.badok.eus/euskal-musika/ama-say/la-jungla-sonora-conciertos-askoren-artean-2,,True,2006,73
165,No iz pop?,https://www.badok.eus/euskal-musika/ama-say/no-iz-pop,Rocka,False,1994,73
166,Say ama,https://www.badok.eus/euskal-musika/ama-say/say-ama,Rocka,False,1994,73
167,Ikusi ditut umeak kalean ametsak akatzen,https://www.badok.eus/euskal-musika/ama-say/ikusi-ditut-umeak-kalean-ametsak-akatzen,Rocka,False,1993,73
168,Cuando se nos mueren los amores,https://www.badok.eus/euskal-musika/amaia-miranda/cuando-se-nos-mueren-los-amores,Folka,True,2022,74
169,Milaka,https://www.badok.eus/euskal-musika/amaia-riouspeyrous/milaka,Pop-rocka,False,2013,75
170,Har ezazu,https://www.badok.eus/euskal-musika/amaia-riouspeyrous/har-ezazu,Pop-rocka,False,2009,75
171,Amona Mantangorri,https://www.badok.eus/euskal-musika/amaia-zubiria/amona-mantangorri,Folka,False,2010,76
172,Oroitzapenerako kantak III (Askoren artean),https://www.badok.eus/euskal-musika/amaia-zubiria/oroitzapenerako-kantak-iii-askoren-artean-1,,True,2009,76
173,Nabil,https://www.badok.eus/euskal-musika/amaia-zubiria/nabil,Herri kanta,False,2008,76
174,"Zatoz, Izpiritua! Euskal elizaren tradizio berritua (Askoren artean)",https://www.badok.eus/euskal-musika/amaia-zubiria/zatoz-izpiritua-euskal-elizaren-tradizio-berritua-askoren-artean-3,,True,2006,76
175,Haatik,https://www.badok.eus/euskal-musika/amaia-zubiria/haatik,Herri kanta,False,2002,76
176,Hou pitxu hou!,https://www.badok.eus/euskal-musika/amaia-zubiria/hou-pitxu-hou,Herri kanta,False,1998,76
177,Mami xuri,https://www.badok.eus/euskal-musika/amaia-zubiria/mami-xuri,"Folka, Herri kanta",False,1998,76
178,Hamahiru (t)alde (Askoren artean),https://www.badok.eus/euskal-musika/amaia-zubiria/hamahiru-talde-askoren-artean-6,,True,1997,76
179,Amonaren mengantza,https://www.badok.eus/euskal-musika/amaia-zubiria/amonaren-mengantza,Herri kanta,False,1995,76
180,Folk-lore-sorta 2,https://www.badok.eus/euskal-musika/amaia-zubiria/folk-lore-sorta-2,"Folka, Herri kanta",False,1992,76
181,Folk-lore-sorta 3,https://www.badok.eus/euskal-musika/amaia-zubiria/folk-lore-sorta-3,"Folka, Herri kanta",False,1992,76
182,Folk-lore-sorta 1,https://www.badok.eus/euskal-musika/amaia-zubiria/folk-lore-sorta-1,"Folka, Herri kanta",False,1991,76
183,Hamar urte zineman,https://www.badok.eus/euskal-musika/amaia-zubiria/hamar-urte-zineman,,False,1990,76
184,Kolorez eta ametsez,https://www.badok.eus/euskal-musika/amaia-zubiria/kolorez-eta-ametsez,"Herri kanta, Jazza",False,1986,76
185,Egun argi hartan,https://www.badok.eus/euskal-musika/amaia-zubiria/egun-argi-hartan,"Folka, Herri kanta",False,1985,76
186,Gu (SG-DG),https://www.badok.eus/euskal-musika/amak/gu-sg-dg,Folka,True,2022,77
187,Amak,https://www.badok.eus/euskal-musika/amak/amak,"Folka, Trikitia",False,2021,77
188,Basajaun,https://www.badok.eus/euskal-musika/amak/basajaun-1,"Folka, Trikitia",True,2020,77
189,Plazandere,https://www.badok.eus/euskal-musika/amaren-alabak/plazandere,Herri kanta,False,2013,78
190,Anderegatik,https://www.badok.eus/euskal-musika/amaren-alabak/anderegatik,Herri kanta,False,2007,78
191,Elikatuz,https://www.badok.eus/euskal-musika/ameba/elikatuz,Rocka,False,2021,79
